epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,613.703,0.63303,0.48848,0.99626,0.91495,0.93711,0.95211,0.78336,0.62971,0.50216,0.96661,0.0014046,0.0014046,0.0014046
161,617.814,0.62636,0.47737,0.99873,0.97187,0.9303,0.95952,0.78681,0.61893,0.43993,0.97016,0.00140295,0.00140295,0.00140295
162,621.541,0.62173,0.46126,0.99739,0.96178,0.91509,0.95235,0.76939,0.62822,0.46932,0.96996,0.0014013,0.0014013,0.0014013
163,625.235,0.60856,0.47612,0.9911,0.94252,0.92864,0.95282,0.77342,0.6165,0.46177,0.96734,0.00139965,0.00139965,0.00139965
164,628.873,0.5999,0.46146,0.98485,0.95735,0.9301,0.949,0.77415,0.61848,0.47201,0.96389,0.001398,0.001398,0.001398
165,632.741,0.61327,0.45521,0.98299,0.9413,0.94038,0.95544,0.76958,0.63743,0.4565,0.96254,0.00139635,0.00139635,0.00139635
166,636.366,0.618,0.46758,0.98415,0.94193,0.91837,0.95217,0.77485,0.63401,0.45161,0.9584,0.0013947,0.0013947,0.0013947
167,639.908,0.60036,0.45474,0.97373,0.95774,0.91897,0.94844,0.77272,0.60805,0.43104,0.94322,0.00139305,0.00139305,0.00139305
168,643.551,0.61812,0.46629,0.99157,0.94863,0.93605,0.94962,0.77211,0.61977,0.47009,0.94974,0.00139139,0.00139139,0.00139139
169,647.18,0.61846,0.45507,0.97548,0.94994,0.92781,0.95,0.77828,0.62397,0.46438,0.98792,0.00138974,0.00138974,0.00138974
170,650.77,0.60664,0.4582,0.97524,0.94591,0.93409,0.95664,0.7758,0.63609,0.46645,1.00276,0.00138809,0.00138809,0.00138809
171,654.482,0.61109,0.4525,0.99403,0.93961,0.93786,0.95732,0.77376,0.61839,0.47054,0.95596,0.00138644,0.00138644,0.00138644
172,658.401,0.60924,0.45704,0.98104,0.95398,0.93273,0.95807,0.78815,0.59043,0.44182,0.93284,0.00138479,0.00138479,0.00138479
173,662.002,0.59725,0.44929,0.97197,0.96311,0.92808,0.9573,0.77569,0.61507,0.46012,0.9707,0.00138314,0.00138314,0.00138314
174,665.576,0.58994,0.45287,0.9729,0.95669,0.93724,0.95933,0.78936,0.60524,0.43944,0.96686,0.00138149,0.00138149,0.00138149
175,669.617,0.59678,0.46538,0.9767,0.93602,0.94281,0.95874,0.78516,0.59755,0.43695,0.95195,0.00137984,0.00137984,0.00137984
176,673.491,0.58284,0.45079,0.96716,0.94558,0.93082,0.95566,0.77218,0.61778,0.43905,0.95118,0.00137819,0.00137819,0.00137819
177,677.048,0.59839,0.44357,0.97375,0.94139,0.93409,0.96013,0.77405,0.6184,0.45132,0.97715,0.00137654,0.00137654,0.00137654
178,680.602,0.6011,0.45559,0.97608,0.93367,0.94038,0.95834,0.767,0.64455,0.47405,0.98338,0.00137489,0.00137489,0.00137489
179,684.219,0.6112,0.44509,0.98257,0.96414,0.92251,0.95239,0.76312,0.62331,0.47454,0.9516,0.00137324,0.00137324,0.00137324
